지점,날짜,평균기온(℃),최고기온(℃),최저기온(℃),일강수량(mm),평균풍속(m/s),평균 상대습도(%)
168,2015-04-02,10.0,10.0,10.0,0.0,7.3,78.9
169,2015-03-31,11.0,11.0,11.0,0.0,7.0,96.9
169,2015-04-01,10.8,10.8,10.8,0.0,3.4,98.7
169,2015-04-02,9.7,9.7,9.7,0.0,14.5,90.7
170,2015-03-31,11.1,11.1,11.1,0.0,0.8,92.5
170,2015-04-01,13.8,13.8,13.8,0.0,0.5,97.2
170,2015-04-02,11.0,11.0,11.0,0.0,6.1,79.7
172,2015-03-31,10.1,10.1,10.1,0.0,1.3,94.5
172,2015-04-01,15.7,15.7,15.7,0.0,2.9,93.3
172,2015-04-02,12.8,12.8,12.8,0.0,4.6,90.2
174,2015-03-31,8.8,8.8,8.8,0.0,0.5,90.5
174,2015-04-01,13.6,13.6,13.6,0.0,0.1,93.8
174,2015-04-02,10.3,10.3,10.3,0.0,2.1,80.0
175,2015-03-31,10.7,10.7,10.7,0.0,4.4,94.2
175,2015-04-01,12.8,12.8,12.8,0.0,2.8,99.9
175,2015-04-02,7.0,7.0,7.0,0.0,12.7,99.9
176,2015-03-31,14.3,14.3,14.3,0.0,1.0,
176,2015-04-01,15.0,15.0,15.0,0.0,0.4,
176,2015-04-02,9.0,9.0,9.0,0.0,4.2,
182,2015-03-31,14.0,14.0,14.0,0.0,2.0,83.0
182,2015-04-01,16.2,16.2,16.2,0.0,3.5,93.0
182,2015-04-02,13.5,13.5,13.5,0.0,13.0,83.0
184,2015-03-31,14.9,14.9,14.9,0.0,0.3,80.8
184,2015-04-01,16.7,16.7,16.7,0.0,2.0,95.0
184,2015-04-02,14.0,14.0,14.0,0.0,5.5,87.7
185,2015-03-31,14.6,14.6,14.6,0.0,6.9,87.9
185,2015-04-01,13.4,13.4,13.4,0.0,5.7,99.9
185,2015-04-02,13.3,13.3,13.3,0.0,7.0,91.5
188,2015-03-31,14.1,14.1,14.1,0.0,1.8,89.6
